"Show.Name","Date.Year","Show.Type","Total.Gross","Number.Performances"
"392","Qed",2001,"Play",674152,10
"393","Rent",2001,"Musical",20317380,415
"394","Riverdance",2001,"Musical",17873902,272
"395","Seussical",2001,"Musical",8548375,160
"396","Sexaholix '01",2001,"Play",3408031,28
"397","Stones In His Pockets",2001,"Play",5141100,198
"398","Swing!",2001,"Musical",807918,16
"399","The Adventures Of Tom Sawyer",2001,"Musical",2211829,21
"400","The Dinner Party",2001,"Play",9360939,280
"401","The Full Monty",2001,"Musical",26481175,414
"402","The Gathering",2001,"Play",360983,24
"403","The Invention Of Love",2001,"Play",3918862,108
"404","The Lion King",2001,"Musical",52130009,414
"405","The Music Man",2001,"Musical",24453746,413
"406","The Phantom Of The Opera",2001,"Musical",31003038,413
"407","The Producers",2001,"Musical",43151040,291
"408","The Rocky Horror Show",2001,"Musical",10094888,374
"409","The Search For Signs Of Intelligent Life In The Universe 00",2001,"Play",3617781,137
"410","The Tale Of The Allergist'S Wife",2001,"Play",16054690,413
"411","The Women",2001,"Play",3472798,61
"412","Thou Shalt Not",2001,"Musical",3715494,77
"413","Urinetown",2001,"Musical",5059630,117
"414","42Nd Street '01",2002,"Musical",37154221,407
"415","45 Seconds From Broadway",2002,"Play",462744,15
"416","Aida",2002,"Musical",35983384,416
"417","Amour",2002,"Musical",1338399,17
"418","An Almost Holy Picture",2002,"Play",2534937,69
"419","Barbara Cook: Mostly Sondheim",2002,"Special",1163086,26
"420","Bea Arthur On Broadway",2002,"Special",1715877,65
"421","Beauty And The Beast",2002,"Musical",30744525,416
"422","Cabaret 98",2002,"Musical",20510644,416
"423","Chicago",2002,"Musical",22945785,416
"424","Contact",2002,"Musical",10983003,280
"425","Dance Of Death",2002,"Play",562798,16
"426","Dance Of The Vampires",2002,"Musical",7548464,25
"427","Def Poetry Jam",2002,"Play",1211388,54
"428","Dinner At Eight",2002,"Play",1254439,13
"429","Elaine Stritch At Liberty",2002,"Musical",5000248,69
"430","Flower Drum Song",2002,"Musical",7658554,85
"431","Fortune'S Fool",2002,"Play",4318899,127
"432","Frankie And Johnny In The Claire De Lune",2002,"Play",9805175,165
"433","Hairspray",2002,"Musical",21069886,157
"434","Hedda Gabler 01",2002,"Play",420741,15
"435","Hollywood Arms",2002,"Play",1944911,68
"436","I'M Not Rappaport '02",2002,"Play",793377,53
"437","Imaginary Friends",2002,"Play",1340529,20
"438","Into The Woods '02",2002,"Musical",14731618,279
"439","La Bohème",2002,"Musical",3468348,25
"440","Les Miserables",2002,"Musical",21217866,416
"441","Mamma Mia!",2002,"Musical",52546493,416
"442","Man Of La Mancha 02",2002,"Musical",4086420,29
"443","Medea 02",2002,"Play",526865,20
"444","Metamorphoses",2002,"Play",9071128,344
"445","Morning'S At Seven",2002,"Play",2766340,112
"446","Movin' Out",2002,"Musical",9512771,77
"447","Noises Off '01",2002,"Play",10288032,279
"448","Oklahoma!",2002,"Musical",31645701,324
"449","One Mo' Time",2002,"Musical",514302,21
"450","Our Town 02",2002,"Play",2073926,28
"451","Private Lives 02",2002,"Play",7083941,127
"452","Proof",2002,"Play",11567176,415
"453","Prune Danish",2002,"Play",2080448,39
"454","Qed",2002,"Play",1491340,30
"455","Rent",2002,"Musical",19612280,416
"456","Say Goodnight, Gracie",2002,"Play",2076414,92
"457","Sexaholix '01",2002,"Play",1929311,39
"458","Sweet Smell Of Success",2002,"Musical",7860322,109
"459","Tartuffe 03",2002,"Play",705801,0
"460","The Boys From Syracuse",2002,"Musical",3286075,73
"461","The Crucible 02",2002,"Play",7657715,101
"462","The Elephant Man",2002,"Play",1574221,57
"463","The Full Monty",2002,"Musical",14023442,279
"464","The Goat, Or Who Is Sylvia?",2002,"Play",7932478,309
"465","The Graduate",2002,"Play",15723522,308
"466","The Lion King",2002,"Musical",56306634,417
"467","The Man Who Had All The Luck",2002,"Play",2610518,70
"468","The Mystery Of Charles Dickens",2002,"Play",253992,20
"469","The Phantom Of The Opera",2002,"Musical",28932348,416
"470","The Producers",2002,"Musical",59967404,416
"471","The Rocky Horror Show",2002,"Musical",285946,8
"472","The Smell Of The Kill",2002,"Play",533380,40
"473","The Tale Of The Allergist'S Wife",2002,"Play",9141320,296
"474","The Women",2002,"Play",710380,16
"475","Thoroughly Modern Millie",2002,"Musical",30874888,292
